source_id,filename,path,sha256,chars,chunks
civil-engineering-pack/kds/KDS_14_20_90.md,KDS_14_20_90.md,kds/KDS_14_20_90.md,bf0431b0717cf1d43146d7bf25be2b6dff6892c1e84625ac6a3f87b9ae11e058,13196,5
civil-engineering-pack/kds/KDS_14_30_05.md,KDS_14_30_05.md,kds/KDS_14_30_05.md,e7ae93aafe2924fcce53988ebac360ff45e7a61b988dc051b75c03422f7faeb4,38510,15
civil-engineering-pack/kds/KDS_14_30_10.md,KDS_14_30_10.md,kds/KDS_14_30_10.md,7405a6a2529e3599ff6119062eafb1c820c2223e7113883fb3d2a53684b865fd,74524,26
civil-engineering-pack/kds/KDS_14_30_20.md,KDS_14_30_20.md,kds/KDS_14_30_20.md,8ad701c771b13f74379e466b9f9cbd160a69e8f6aa0b101e3ad18a6e2cf7906f,12089,5
civil-engineering-pack/kds/KDS_14_30_25.md,KDS_14_30_25.md,kds/KDS_14_30_25.md,38fbcd3c124a294c91370383ca63fe9b9fe5bb1f6fa54752e566f8f042b16b66,11310,5
civil-engineering-pack/kds/KDS_14_30_50.md,KDS_14_30_50.md,kds/KDS_14_30_50.md,6f728680dbd9cf90c84f7baa70be34aa214a5c5e5c8ecd5e9447b8ecfb24c6f0,1535,1
civil-engineering-pack/kds/KDS_14_31_05.md,KDS_14_31_05.md,kds/KDS_14_31_05.md,f5c0ef91b5c44b1ee409c3d6c33d0ffbe6fdfbb8625e258b13ab2e51675f770d,70137,25
civil-engineering-pack/kds/KDS_14_31_10.md,KDS_14_31_10.md,kds/KDS_14_31_10.md,d7f0f73fd25ca91a3bb36e03c405ad5caa0b97e6b5f3c62e9463652a9e5ac892,158235,55
civil-engineering-pack/kds/KDS_14_31_15.md,KDS_14_31_15.md,kds/KDS_14_31_15.md,ed2dc7a663863fa4d1c072b334a87365c7546d072aa7fbf7ffdfa2ea87ae51cc,12696,5
civil-engineering-pack/kds/KDS_14_31_20.md,KDS_14_31_20.md,kds/KDS_14_31_20.md,b08b2f9ab341e83c15957e48dd6af370bd2ee770602b03e46edb3dc99e5c857c,27327,12
civil-engineering-pack/kds/KDS_14_31_25.md,KDS_14_31_25.md,kds/KDS_14_31_25.md,7a9a102e9603471db1e1d564ed16d5722f6092b7172c80b9a44c7f5e8e6010fd,52129,19
civil-engineering-pack/kds/KDS_14_31_50.md,KDS_14_31_50.md,kds/KDS_14_31_50.md,0fa41177a93247fad99cd210f5f9fc3f9e87c2b5e1dcbd5e957a5797bf836d4e,2719,1
civil-engineering-pack/kds/KDS_14_31_55.md,KDS_14_31_55.md,kds/KDS_14_31_55.md,494bef8159ad3cdadf0e03b44a282b9ed5b3e719871ed04cd975ad63e96565e6,3542,2
civil-engineering-pack/kds/KDS_14_31_60.md,KDS_14_31_60.md,kds/KDS_14_31_60.md,3569507e1042a1d6b0a1742706646117d8fd11bdfff342a7fedf32bba9984cde,53854,19
civil-engineering-pack/kds/KDS_14_31_70.md,KDS_14_31_70.md,kds/KDS_14_31_70.md,691d2cab8bb032e3f8501a2f5e08589a0a3a7faed60110f004d3d19a670288d8,3780,2
civil-engineering-pack/kds/KDS_14_31_80.md,KDS_14_31_80.md,kds/KDS_14_31_80.md,cf0ab530b43f414caf405b39cfc010fe3a2295e9498191889f2671caa9f26181,28374,10
civil-engineering-pack/kds/KDS_14_31_85.md,KDS_14_31_85.md,kds/KDS_14_31_85.md,8467a65da487be90feef12864387723e3e094310f57ede3e0417105a2702c614,20245,7
civil-engineering-pack/kds/KDS_17_10_00.md,KDS_17_10_00.md,kds/KDS_17_10_00.md,845951da434e5d83558897941a7906d6adc80ac8f138e6ce4cf0fd37c9414568,21639,8
civil-engineering-pack/kds/KDS_21_10_00.md,KDS_21_10_00.md,kds/KDS_21_10_00.md,614946f25b45ec849ba0d4672bab015738701667a8b393b18a1065b73c40ae24,4992,2
